FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,FIRE_RISK
01073,2008,60,472.7,28362.0
01073,2009,26,160.62,4176.12
01073,2010,38,1326.0,50388.0
01073,2011,36,3695.1,133023.6
01073,2012,50,298.0,14900.0
01073,2013,31,283.45,8786.949999999999
01073,2014,82,951.1750000000001,77996.35
01073,2015,47,364.0,17108.0
01073,2016,94,3155.35,296602.89999999997
01073,2017,28,371.55,10403.4
01073,2018,17,160.0,2720.0
01073,2019,37,389.85,14424.45
01073,2020,16,67.0,1072.0
01075,2003,14,126.1,1765.3999999999999
01075,2004,10,34.199999999999996,341.99999999999994
01075,2005,24,109.10000000000001,2618.4
01075,2006,49,447.4,21922.6
01075,2007,36,168.32,6059.5199999999995
01075,2008,16,74.2,1187.2
01075,2009,5,48.55,242.75
01075,2010,15,179.25,2688.75
01075,2011,16,84.9,1358.4
01075,2012,24,293.5,7044.0
01075,2013,11,122.7,1349.7
01075,2014,21,183.83,3860.4300000000003
01075,2015,7,48.5,339.5
01075,2016,24,244.85,5876.4
01075,2017,10,87.0,870.0
01075,2018,5,58.0,290.0
01075,2019,16,151.5,2424.0
01075,2020,15,90.05,1350.75
01077,2003,55,239.71,13184.050000000001
01077,2004,74,427.48,31633.52
01077,2005,99,616.35,61018.65
01077,2006,98,725.75,71123.5
01077,2007,92,527.91,48567.719999999994
01077,2008,38,185.95,7066.099999999999
01077,2009,25,419.3,10482.5
01077,2010,20,237.55,4751.0
01077,2011,12,130.5,1566.0
01077,2012,14,1105.5,15477.0
01077,2013,9,117.5,1057.5
01077,2014,27,316.40000000000003,8542.800000000001
01077,2015,14,89.9,1258.6000000000001
01077,2016,43,194.35,8357.05
01077,2017,6,77.25,463.5
01077,2018,6,17.75,106.5
01077,2019,13,49.05,637.65
01077,2020,5,11.45,57.25
01079,2003,37,455.25,16844.25
01079,2004,47,456.57,21458.79
01079,2005,36,411.35,14808.6
01079,2006,39,565.85,22068.15
01079,2007,58,1287.85,74695.29999999999
01079,2008,18,215.35,3876.2999999999997
01079,2009,13,69.3,900.9
01079,2010,14,239.2,3348.7999999999997
01079,2011,11,1539.0,16929.0
01079,2012,13,224.75,2921.75
01079,2013,18,230.2,4143.599999999999
01079,2014,31,527.7,16358.7
01079,2015,19,2182.1,41459.9
01079,2016,45,569.95,25647.750000000004
01079,2017,9,85.1,765.9
01079,2018,2,18.0,36.0
01079,2019,7,382.0,2674.0
01079,2020,2,92.5,185.0
01081,2003,8,68.8,550.4
01081,2004,12,258.0,3096.0
01081,2005,8,67.25,538.0
01081,2006,11,174.0,1914.0
01081,2007,24,156.25,3750.0
01081,2008,6,186.5,1119.0
01081,2009,12,240.45,2885.3999999999996
01081,2010,12,435.5,5226.0
01081,2011,26,447.75,11641.5
01081,2012,15,92.0,1380.0
01081,2013,8,330.2,2641.6
01081,2014,23,337.35,7759.05
01081,2015,12,144.35,1732.1999999999998
01081,2016,42,335.25,14080.5
01081,2017,16,469.5,7512.0
01081,2018,10,499.0,4990.0
01081,2019,12,144.65,1735.8000000000002
01081,2020,6,91.25,547.5
01083,2003,4,44.0,176.0
01083,2004,6,45.5,273.0
01083,2005,4,13.0,52.0
01083,2006,28,109.8,3074.4
01083,2007,31,154.7,4795.7
01083,2008,13,66.6,865.8
01083,2009,4,37.0,148.0
01083,2010,7,42.0,294.0
01083,2011,6,71.0,426.0
01083,2012,3,1.5,4.5
01083,2013,7,37.32,261.24
01083,2014,18,70.89999999999999,1276.1999999999998
01083,2015,13,18.400000000000002,239.20000000000002
01083,2016,50,400.5,20025.0
01083,2017,12,27.6,331.20000000000005
01083,2018,5,7.95,39.75
01083,2019,20,43.2,864.0
01083,2020,5,36.25,181.25
01085,2003,16,41.1,657.6
01085,2004,37,744.6999999999999,27553.899999999998
01085,2005,24,156.3,3751.2000000000003
01085,2006,60,1055.35,63320.99999999999
01085,2007,44,353.2,15540.8
01085,2008,26,74.1,1926.6
01085,2009,9,66.35,597.15
01085,2010,20,174.5,3490.0
01085,2011,16,389.92,6238.72
01085,2012,21,141.0,2961.0
01085,2013,17,518.8,8819.599999999999
01085,2014,31,282.3,8751.300000000001
01085,2015,24,336.6,8078.400000000001
01085,2016,26,138.75,3607.5
01085,2017,8,43.0,344.0
01085,2018,5,16.9,84.5
01085,2019,17,115.6,1965.1999999999998
01085,2020,9,182.3,1640.7
01087,2003,31,199.4,6181.400000000001
