ZIP_CODE,CITY_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,STATE_CODE,EXPECTED_ANNUAL_LOSS,RESILIENCE_SCORE,SOCIAL_VULNERABILITY_SCORE,AVG_CURRENT_COST_INSURANCE,AVG_COST_RISK_BASED_INSURANCE,AVG_LISTING_PRICE_REALTOR,CLIMATE_INVESTMENT_RISK_INDEX,UPDATED_AT
95951,Hamilton City,Glenn County,06021,CA,859705.696566485,16.409999847,84.629997253,694,920,399000,34.235073035,2025-07-31
95988,Willows,Glenn County,06021,CA,1619059.92773279,16.437233656,79.239781747,772,989,283186,18.552957078,2025-07-31
95542,Garberville,Humboldt County,06023,CA,1804461.014420766,46.577634714,68.541230489,1028,2229,520249,23.322990376,2025-07-31
95521,Arcata,Humboldt County,06023,CA,2724625.48495519,46.779998765,66.208147079,893,1237,625444,24.616931059,2025-07-31
95589,Whitethorn,Humboldt County,06023,CA,1093316.640921877,45.926913793,54.037245627,1348,2954,482139,33.351849181,2025-07-31
92283,Winterhaven,Imperial County,06025,CA,329864.011800795,0.939999998,95.805924371,1028,2229,3849500,13.535411742,2025-07-31
92251,Imperial,Imperial County,06025,CA,5255746.980866909,0.939999999,80.94825533,1028,2229,424265,17.17652481,2025-07-31
92243,El Centro,Imperial County,06025,CA,3171080.306527513,0.939999999,88.998813323,1028,2229,480254,8.020195138,2025-07-31
92250,Holtville,Imperial County,06025,CA,2570624.891193002,0.939999998,89.376690732,1028,2229,474844,1.934062974,2025-07-31
92266,Palo Verde,Imperial County,06025,CA,346369.11111171,0.939999998,43.369998932,1028,2229,224950,14.112370088,2025-07-31
92231,Calexico,Imperial County,06025,CA,1472145.447668572,0.939999999,84.036235072,1028,2229,458675,12.983757266,2025-07-31
93514,Bishop,Inyo County,06027,CA,2267783.15905215,31.020294586,60.961729166,994,1682,721338,37.211029977,2025-07-31
93513,Big Pine,Inyo County,06027,CA,501533.976574725,28.680000305,41.616232832,1028,2229,583725,45.125627052,2025-07-31
93526,Independence,Inyo County,06027,CA,500677.353437454,28.680000305,41.580001831,1028,2229,612000,40.816865413,2025-07-31
93545,Lone Pine,Inyo County,06027,CA,1934917.955700306,28.680000305,79.490674925,1028,2229,362667,24.129538891,2025-07-31
93306,Bakersfield,Kern County,06029,CA,261370.011617306,7.099999911,66.503904112,584,758,439822,30.585031857,2025-07-31
93250,McFarland,Kern County,06029,CA,330232.415857993,7.099999898,86.92490258,545,562,352618,25.694586054,2025-07-31
93301,Bakersfield,Kern County,06029,CA,1390501.593428904,7.09999991,89.809641542,659,786,422589,16.241409339,2025-07-31
93283,Weldon,Kern County,06029,CA,1556382.620844012,7.099999898,71.03651751,878,1024,424973,20.749178358,2025-07-31
93215,Delano,Kern County,06029,CA,430246.777672038,7.159416083,81.166123397,587,805,386759,22.268848642,2025-07-31
93560,Rosamond,Kern County,06029,CA,558830.233890174,7.116025164,74.821101104,1212,1367,452400,30.333944385,2025-07-31
93243,Lebec,Kern County,06029,CA,3092289.929493167,7.394352837,64.646439315,1028,2229,855750,10.382557405,2025-07-31
93305,Bakersfield,Kern County,06029,CA,346969.251044413,7.09999991,87.7671854,546,546,324814,20.048940996,2025-07-31
93225,Frazier Park,Kern County,06029,CA,2511510.435855252,10.092136404,66.02646662,1239,2854,554762,16.952104559,2025-07-31
93501,Mojave,Kern County,06029,CA,1287917.311100483,7.099999898,88.151141425,791,914,318913,11.548320872,2025-07-31
93308,Bakersfield,Kern County,06029,CA,847624.185152815,7.099999898,63.411821577,724,3673,428344,23.842961049,2025-07-31
93527,Inyokern,Kern County,06029,CA,988889.693895446,7.972031704,37.91101074,676,847,319043,28.186454836,2025-07-31
93307,Bakersfield,Kern County,06029,CA,451608.47379844,7.099999893,86.706296523,684,809,394023,23.45589875,2025-07-31
93555,Ridgecrest,Kern County,06029,CA,986076.734578992,7.274333951,58.366230408,767,980,322938,26.1311162,2025-07-31
93516,Boron,Kern County,06029,CA,283930.218086102,7.812213398,74.695640192,1221,1479,222591,28.557252136,2025-07-31
93204,Avenal,Kings County,06031,CA,648424.211682013,10.788776893,92.467913286,1028,2229,329095,20.951931714,2025-07-31
93239,Kettleman City,Kings County,06031,CA,1879113.322111986,10.789999962,87.589996338,1028,2229,122900,,2025-07-31
93245,Lemoore,Kings County,06031,CA,647322.87726004,10.789999951,63.772852974,771,848,516220,30.38245827,2025-07-31
93230,Hanford,Kings County,06031,CA,488222.870787554,10.7894562,70.822861167,724,864,407805,30.933269735,2025-07-31
93266,Stratford,Kings County,06031,CA,1879113.322111986,10.789999962,87.589996338,647,652,699000,10.610038418,2025-07-31
93212,Corcoran,Kings County,06031,CA,352538.599192038,10.768745848,94.480629692,565,608,325390,21.567957753,2025-07-31
95464,Nice,Lake County,06033,CA,661025.798494666,20.799999216,66.104204106,1246,3211,310100,24.549343929,2025-07-31
95461,Middletown,Lake County,06033,CA,2443031.680853582,20.845858047,80.365911819,935,4841,624145,18.055198112,2025-07-31
95423,Clearlake Oaks,Lake County,06033,CA,1013128.848120651,20.799999258,45.811755557,1523,3563,441516,32.672587381,2025-07-31
95453,Lakeport,Lake County,06033,CA,2335373.034243924,20.799999258,82.521682874,1429,3081,617253,21.376516282,2025-07-31
95451,Kelseyville,Lake County,06033,CA,2058872.246501561,20.799999258,73.18657333,1166,4746,557007,20.109556196,2025-07-31
96114,Janesville,Lassen County,06035,CA,1541158.222756606,41.318360214,52.240741094,1028,2229,413489,32.396387573,2025-07-31
96130,Susanville,Lassen County,06035,CA,846117.775704285,41.310001332,57.59092103,1910,3405,294824,36.139713868,2025-07-31
96128,Standish,Lassen County,06035,CA,1139490.303023266,41.310001373,33.979999542,1028,2229,420000,57.509704541,2025-07-31
96009,Bieber,Lassen County,06035,CA,1894230.563309308,41.310001373,28.180000305,1028,2229,1045540,33.591368322,2025-07-31
90031,Los Angeles,Los Angeles County,06037,CA,659661.853784668,15.439999587,85.045474619,1051,1520,939871,24.102853238,2025-07-31
91741,Glendora,Los Angeles County,06037,CA,1422470.516325243,15.439999583,43.988924547,986,2129,1514237,35.162369382,2025-07-31
91605,North Hollywood,Los Angeles County,06037,CA,1299639.109727556,15.43999959,85.404258841,1028,2229,820556,19.56684871,2025-07-31
90650,Norwalk,Los Angeles County,06037,CA,752878.749702008,15.439999619,75.444418541,671,1893,752260,31.472736351,2025-07-31
91311,Chatsworth,Los Angeles County,06037,CA,3127723.592515131,15.568405231,53.620492149,869,1440,1525507,29.030825257,2025-07-31
90036,Los Angeles,Los Angeles County,06037,CA,1187700.241301227,15.439999577,34.669941862,674,2310,2413381,27.038057955,2025-07-31
90265,Malibu,Los Angeles County,06037,CA,2080637.229799863,16.269094181,21.06819167,2318,3373,9466286,30.187287144,2025-07-31
90604,Whittier,Los Angeles County,06037,CA,633324.448007068,15.439999583,64.232245582,1028,2229,821305,37.097635474,2025-07-31
90016,Los Angeles,Los Angeles County,06037,CA,722837.767693026,15.439999562,79.838785398,1291,5409,1075342,23.041288759,2025-07-31
91754,Monterey Park,Los Angeles County,06037,CA,939977.026426586,15.439999599,74.193129901,671,792,1029315,25.897449293,2025-07-31
90020,Los Angeles,Los Angeles County,06037,CA,794838.546618594,15.43999959,82.417524607,786,3478,2233725,14.594933625,2025-07-31
91351,Canyon Country,Los Angeles County,06037,CA,1942347.583980713,15.43999957,68.05736169,2183,6108,703871,39.046813826,2025-07-31
91604,Studio City,Los Angeles County,06037,CA,1471156.05833623,15.439999563,29.864454317,790,2575,2560779,29.719585393,2025-07-31
90047,Los Angeles,Los Angeles County,06037,CA,838294.035241515,15.439999642,83.823538689,625,838,788030,26.072931543,2025-07-31
91030,South Pasadena,Los Angeles County,06037,CA,1088538.171683662,15.439999566,32.437596777,595,1050,2357013,26.822390956,2025-07-31
90277,Redondo Beach,Los Angeles County,06037,CA,1331478.045474635,15.43999957,27.77913671,640,1651,2214407,32.895301075,2025-07-31
91706,Baldwin Park,Los Angeles County,06037,CA,1134506.464642018,15.439999577,79.899204801,1028,2229,716518,30.816214972,2025-07-31
93551,Palmdale,Los Angeles County,06037,CA,1717085.518900723,15.439999551,50.121274243,688,1665,704162,33.556449756,2025-07-31
