yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2018,95866,604,1,06067,6.84,1023.33,CALIFORNIA,2.0,10000.0,48.63,0.4679184394048796,-0.29,198.0,601.29,0.0,0.0,0.0,90453770,3.9,1.15,6067.0,19125.0,5920015000.0,1539550.0,604.0
2019,95866,786,1,06067,4.33,1067.68,CALIFORNIA,15.0,25000.0,252.0,0.5887146971506118,0.81,104.0,44.64,0.0,0.0,0.0,94135671,3.7,1.147,6067.0,20041.0,6436105000.0,1551660.0,786.0
2020,95866,772,1,06067,4.33,1113.91,CALIFORNIA,8.0,0.0,9.27,0.5523641569616408,-4.04,94.0,7111.66,0.0,0.0,0.0,92219821,9.4,1.155,6067.0,20432.0,7342640000.0,1586727.0,772.0
2021,95866,898,1,06067,,,,,,,,,,,,,,,,,,,,,898.0
2021,95901,6343976,5971,06115,,,,,,,,,,,,,,,,,,,,,1062.4645787975214
2018,95901,4360089,5357,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,813.9049841329102
2019,95901,4842444,5634,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,859.503727369542
2020,95901,5668229,5824,06115,4.99,515.38,CALIFORNIA,0.0,0.0,0.0,0.5226502131059924,-1.86,19.0,1360.45,0.0,0.0,0.0,3200163,10.6,1.116,6115.0,1437.0,427705000.0,82001.0,973.2536057692307
2018,95903,496,1,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,496.0
2019,95903,450,1,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,450.0
