FIPS,year,deaths,injuries,damage
22025.0,2005,0.0,0.0,11500000
22027.0,2005,0.0,0.0,0
22029.0,2005,0.0,0.0,10300000
22031.0,2005,0.0,0.0,0
22033.0,2002,0.0,0.0,5540000
22033.0,2005,4.0,0.0,17000000
22033.0,2008,2.0,0.0,37700000
22033.0,2012,0.0,0.0,10190000
22033.0,2021,2.0,0.0,250000000
22035.0,2005,0.0,0.0,4400000
22037.0,2002,0.0,0.0,5540000
22037.0,2005,0.0,0.0,1700000
22037.0,2008,0.0,0.0,100000
22037.0,2012,0.0,0.0,164500
22039.0,2002,0.0,1.0,23000000
22039.0,2005,0.0,0.0,1000000
22039.0,2008,0.0,0.0,75000000
22039.0,2020,0.0,0.0,100000000
22041.0,2002,0.0,0.0,500000
22041.0,2005,0.0,0.0,4100000
22043.0,2005,0.0,0.0,0
22043.0,2020,0.0,0.0,0
22045.0,2002,0.0,0.0,60000000
22045.0,2005,0.0,0.0,13000000
22045.0,2008,0.0,0.0,130000000
22045.0,2019,0.0,0.0,1000000
22045.0,2020,2.0,0.0,200000000
22047.0,2002,0.0,0.0,5540000
22047.0,2005,0.0,0.0,1700000
22047.0,2008,0.0,0.0,5670000
22047.0,2012,0.0,0.0,502000
22047.0,2021,0.0,0.0,10000000
22049.0,2020,1.0,0.0,0
22051.0,2002,0.0,0.0,11080000
22051.0,2004,0.0,0.0,1060000
22051.0,2005,27.0,0.0,1711000000
22051.0,2008,0.0,0.0,2530000
22051.0,2012,0.0,0.0,12040000
22051.0,2020,0.0,0.0,25000000
22051.0,2021,4.0,0.0,1500000000
22053.0,2002,0.0,0.0,25000000
22053.0,2005,0.0,0.0,4000000
22053.0,2020,0.0,0.0,1100000000
22055.0,2002,0.0,0.0,88000000
22055.0,2005,0.0,0.0,8000000
22055.0,2008,1.0,0.0,105000000
22055.0,2020,0.0,0.0,300000000
22057.0,2002,0.0,0.0,11080000
22057.0,2004,0.0,0.0,245000
22057.0,2005,0.0,0.0,86000000
22057.0,2008,0.0,0.0,17340000
22057.0,2012,0.0,0.0,2060000
22057.0,2020,0.0,0.0,50000000
22057.0,2021,0.0,0.0,1500000000
22057.0,2024,0.0,0.0,40000000
22059.0,2005,0.0,0.0,0
22061.0,2005,0.0,0.0,0
22063.0,2002,0.0,0.0,5540000
22063.0,2005,0.0,0.0,17500000
22063.0,2008,1.0,0.0,8400000
22063.0,2012,0.0,0.0,12090000
22063.0,2021,0.0,0.0,300000000
22065.0,2005,0.0,0.0,5900000
22067.0,2002,0.0,0.0,500000
22067.0,2005,0.0,0.0,4000000
22069.0,2005,0.0,0.0,0
22069.0,2020,0.0,0.0,0
22071.0,2002,0.0,0.0,5540000
22071.0,2004,0.0,0.0,240000
22071.0,2005,638.0,0.0,3577000000
22071.0,2008,0.0,0.0,6170000
22071.0,2012,0.0,0.0,26800000
22071.0,2020,1.0,1.0,25000000
22071.0,2021,12.0,0.0,800000000
22075.0,2002,0.0,0.0,11080000
22075.0,2004,0.0,0.0,8840000
22075.0,2005,2.0,0.0,3045000000
22075.0,2008,0.0,0.0,730000
22075.0,2012,0.0,0.0,4510000
22075.0,2020,0.0,0.0,35000000
22075.0,2021,0.0,0.0,150000000
22077.0,2002,0.0,0.0,5540000
22077.0,2005,0.0,0.0,1700000
22077.0,2008,0.0,0.0,1400000
22077.0,2012,0.0,0.0,100000
22077.0,2021,0.0,0.0,10000000
22079.0,2002,0.0,0.0,58000000
22079.0,2005,0.0,0.0,2500000
22079.0,2008,0.0,0.0,105000000
22079.0,2020,3.0,0.0,500000000
22081.0,2005,0.0,0.0,0
22083.0,2005,0.0,0.0,6200000
22085.0,2005,0.0,0.0,0
22085.0,2020,0.0,0.0,0
22087.0,2002,0.0,0.0,11080000
22087.0,2004,0.0,0.0,1180000
22087.0,2005,140.0,0.0,3565000000
22087.0,2008,0.0,0.0,590000
22087.0,2012,0.0,0.0,7200000
22087.0,2020,0.0,0.0,50000000
22087.0,2021,0.0,0.0,20000000
22089.0,2002,0.0,0.0,5540000
22089.0,2004,0.0,0.0,5000
22089.0,2005,0.0,0.0,169500000
22089.0,2008,0.0,0.0,2820000
22089.0,2012,0.0,0.0,1300000
22089.0,2021,0.0,0.0,500000000
22091.0,2002,0.0,0.0,5540000
22091.0,2005,0.0,0.0,8400000
22091.0,2008,0.0,0.0,260000
22091.0,2012,0.0,0.0,4000000
22091.0,2021,0.0,0.0,50000000
22093.0,2002,0.0,0.0,5540000
22093.0,2005,0.0,0.0,8400000
22093.0,2008,0.0,0.0,2560000
22093.0,2012,0.0,0.0,1000000
22093.0,2021,1.0,0.0,250000000
22095.0,2002,0.0,0.0,5540000
22095.0,2004,0.0,0.0,5000
22095.0,2005,1.0,0.0,170000000
22095.0,2008,0.0,0.0,8150000
22095.0,2012,0.0,0.0,11800000
22095.0,2021,1.0,0.0,500000000
22097.0,2002,0.0,0.0,33000000
22097.0,2005,0.0,0.0,3500000
22097.0,2008,0.0,0.0,125000000
22099.0,2002,0.0,0.0,30500000
22099.0,2005,0.0,0.0,2020000
22099.0,2008,1.0,0.0,80000000
22101.0,2002,0.0,0.0,53000000
22101.0,2005,0.0,0.0,11010000
22101.0,2008,0.0,0.0,180000000
22101.0,2019,0.0,0.0,5000000
22101.0,2020,0.0,0.0,50000000
22101.0,2024,0.0,0.0,40000000
22103.0,2002,0.0,0.0,5540000
22103.0,2004,0.0,0.0,240000
22103.0,2005,2.0,0.0,2545000000
22103.0,2008,0.0,0.0,510000
22103.0,2012,0.0,0.0,4760000
22103.0,2020,0.0,0.0,15000000
22103.0,2021,0.0,0.0,100000000
22105.0,2002,0.0,0.0,5540000
22105.0,2005,0.0,0.0,85200000
22105.0,2008,0.0,0.0,250000
22105.0,2012,0.0,0.0,4600000
22105.0,2021,2.0,0.0,400000000
22107.0,2005,0.0,0.0,12000000
22109.0,2002,0.0,0.0,11080000
22109.0,2004,0.0,0.0,10000
22109.0,2005,0.0,0.0,86000000
22109.0,2008,0.0,0.0,9680000
22109.0,2012,0.0,0.0,2670000
22109.0,2020,0.0,0.0,50000000
22109.0,2021,1.0,0.0,1500000000
22109.0,2024,0.0,6.0,80000000
22113.0,2002,0.0,0.0,78000000
22113.0,2005,0.0,0.0,140000000
22113.0,2020,0.0,0.0,450000000
22115.0,2005,0.0,0.0,1000000
22115.0,2020,1.0,0.0,900000000
22117.0,2002,0.0,0.0,5540000
22117.0,2005,2.0,0.0,1860500000
