county_fips5,yr,index_nsa
01115,2024,514.4
01117,2021,451.38
01117,2022,530.5
01117,2023,571.1
01117,2024,584.02
01119,2021,157.43
01119,2022,
01119,2023,193.37
01119,2024,
01121,2021,247.27
01121,2022,283.79
01121,2023,310.66
01121,2024,320.93
01123,2021,253.88
01123,2022,291.11
01123,2023,325.01
01123,2024,333.51
01125,2021,304.33
01125,2022,341.86
01125,2023,355.07
01125,2024,382.63
01127,2021,251.64
01127,2022,282.45
01127,2023,310.86
01127,2024,321.24
01129,2021,118.09
01129,2022,137.63
01129,2023,
01129,2024,180.18
01131,2021,136.4
01131,2022,137.19
01131,2023,
01131,2024,
01133,2021,230.04
01133,2022,277.44
01133,2023,286.74
01133,2024,308.91
02020,2021,525.43
02020,2022,576.7
02020,2023,608.08
02020,2024,641.81
02090,2021,409.55
02090,2022,452.75
02090,2023,475.47
02090,2024,491.13
02110,2021,473.09
02110,2022,529.72
02110,2023,567.97
02110,2024,565.98
02122,2021,229.2
02122,2022,270.16
02122,2023,295.15
02122,2024,316.09
02130,2021,309.98
02130,2022,348.64
02130,2023,362.04
02130,2024,412.48
02150,2021,311.76
02150,2022,343.82
02150,2023,393.35
02150,2024,384.77
02170,2021,178.03
02170,2022,205.23
02170,2023,220.64
02170,2024,233.38
02220,2021,391.34
02220,2022,451.95
02220,2023,537.01
02220,2024,578.57
04001,2021,308.83
04001,2022,393.37
04001,2023,390.08
04001,2024,447.24
04003,2021,480.44
04003,2022,563.51
04003,2023,597.89
04003,2024,629.19
04005,2021,917.37
04005,2022,1120.08
04005,2023,1187.03
04005,2024,1240.01
04007,2021,585.26
04007,2022,724.64
04007,2023,747.35
04007,2024,761.98
04009,2021,295.48
04009,2022,342.01
04009,2023,369.07
04009,2024,384.78
04012,2021,369.1
04012,2022,436.03
04012,2023,448.56
04012,2024,422.03
04013,2021,933.06
04013,2022,1146.6
04013,2023,1159.18
04013,2024,1208.89
04015,2021,667.37
04015,2022,797.42
04015,2023,798.21
04015,2024,818.53
04017,2021,457.57
04017,2022,563.7
04017,2023,599.48
04017,2024,616.99
04019,2021,768.22
04019,2022,922.77
04019,2023,980.42
04019,2024,1016.22
04021,2021,553.31
04021,2022,690.87
04021,2023,701.59
04021,2024,719.97
04023,2021,217.52
04023,2022,262.18
04023,2023,267.53
04023,2024,286.23
04025,2021,595.66
04025,2022,711.11
04025,2023,737.71
04025,2024,763.8
04027,2021,445.75
04027,2022,538.14
04027,2023,566.07
04027,2024,588.66
05001,2021,262.57
05001,2022,287.05
05001,2023,298.89
05001,2024,338.23
05003,2021,203.94
05003,2022,237.85
05003,2023,237.78
05003,2024,244.97
05005,2021,256.92
05005,2022,304.39
05005,2023,333.58
05005,2024,356.71
05007,2021,498.34
05007,2022,617.7
05007,2023,691.85
05007,2024,721.61
05009,2021,188.74
05009,2022,227.71
05009,2023,248.12
05009,2024,264.69
05011,2021,151.95
05011,2022,179.7
05011,2023,147.67
05011,2024,
05015,2021,184.39
05015,2022,225.22
05015,2023,229.93
05015,2024,262.21
05017,2021,135.93
05017,2022,126.61
05017,2023,
05017,2024,
05019,2021,237.77
05019,2022,278.91
05019,2023,317.8
05019,2024,322.55
05021,2021,161.94
05021,2022,206.51
05021,2023,219.39
05021,2024,222.63
05023,2021,259.47
05023,2022,310.56
05023,2023,320.28
05023,2024,344.21
05025,2021,157.07
05025,2022,182.91
05025,2023,188.62
05025,2024,183.92
05027,2021,231.34
05027,2022,263.61
05027,2023,257.14
05027,2024,280.29
05029,2021,176.25
05029,2022,192.26
05029,2023,210.66
05029,2024,241.26
05031,2021,324.26
05031,2022,369.03
05031,2023,381.41
05031,2024,397.25
05033,2021,379.65
05033,2022,449.32
05033,2023,496.34
05033,2024,515.67
05035,2021,340.23
05035,2022,392.18
05035,2023,427.57
05035,2024,405.88
05037,2021,219.32
05037,2022,257.27
05037,2023,263.4
