cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2022,268.49,235.39,33.10000000000002,14.061769828794768
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,290.12125,268.49,21.631249999999966,8.056631531900615
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,312.9325,290.12125,22.81125000000003,7.862660870239613
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2025,330.54499999999996,312.9325,17.612499999999955,5.628210556589663
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2022,268.49,235.39,33.10000000000002,14.061769828794768
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,290.12125,268.49,21.631249999999966,8.056631531900615
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,312.9325,290.12125,22.81125000000003,7.862660870239613
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2025,330.54499999999996,312.9325,17.612499999999955,5.628210556589663
11020,"Altoona, PA",42013,Blair County,Pennsylvania,"Altoona, PA",11020,2022,252.495,225.39249999999998,27.10250000000002,12.02457934492054
11020,"Altoona, PA",42013,Blair County,Pennsylvania,"Altoona, PA",11020,2023,260.91499999999996,252.495,8.419999999999959,3.3347194993960105
11020,"Altoona, PA",42013,Blair County,Pennsylvania,"Altoona, PA",11020,2024,276.385,260.91499999999996,15.470000000000027,5.929134009160086
11020,"Altoona, PA",42013,Blair County,Pennsylvania,"Altoona, PA",11020,2025,290.20500000000004,276.385,13.82000000000005,5.000271360602082
11100,"Amarillo, TX",48011,Armstrong County,Texas,"Amarillo, TX",11100,2022,270.71000000000004,235.60750000000002,35.10250000000002,14.898719268274574
11100,"Amarillo, TX",48011,Armstrong County,Texas,"Amarillo, TX",11100,2023,285.4975,270.71000000000004,14.787499999999966,5.462487532784155
11100,"Amarillo, TX",48011,Armstrong County,Texas,"Amarillo, TX",11100,2024,293.6775,285.4975,8.180000000000007,2.8651739507351337
11100,"Amarillo, TX",48011,Armstrong County,Texas,"Amarillo, TX",11100,2025,299.03499999999997,293.6775,5.357499999999959,1.8242800350724675
11100,"Amarillo, TX",48065,Carson County,Texas,"Amarillo, TX",11100,2022,270.71000000000004,235.60750000000002,35.10250000000002,14.898719268274574
11100,"Amarillo, TX",48065,Carson County,Texas,"Amarillo, TX",11100,2023,285.4975,270.71000000000004,14.787499999999966,5.462487532784155
11100,"Amarillo, TX",48065,Carson County,Texas,"Amarillo, TX",11100,2024,293.6775,285.4975,8.180000000000007,2.8651739507351337
11100,"Amarillo, TX",48065,Carson County,Texas,"Amarillo, TX",11100,2025,299.03499999999997,293.6775,5.357499999999959,1.8242800350724675
11100,"Amarillo, TX",48359,Oldham County,Texas,"Amarillo, TX",11100,2022,270.71000000000004,235.60750000000002,35.10250000000002,14.898719268274574
11100,"Amarillo, TX",48359,Oldham County,Texas,"Amarillo, TX",11100,2023,285.4975,270.71000000000004,14.787499999999966,5.462487532784155
11100,"Amarillo, TX",48359,Oldham County,Texas,"Amarillo, TX",11100,2024,293.6775,285.4975,8.180000000000007,2.8651739507351337
11100,"Amarillo, TX",48359,Oldham County,Texas,"Amarillo, TX",11100,2025,299.03499999999997,293.6775,5.357499999999959,1.8242800350724675
11100,"Amarillo, TX",48375,Potter County,Texas,"Amarillo, TX",11100,2022,270.71000000000004,235.60750000000002,35.10250000000002,14.898719268274574
11100,"Amarillo, TX",48375,Potter County,Texas,"Amarillo, TX",11100,2023,285.4975,270.71000000000004,14.787499999999966,5.462487532784155
11100,"Amarillo, TX",48375,Potter County,Texas,"Amarillo, TX",11100,2024,293.6775,285.4975,8.180000000000007,2.8651739507351337
11100,"Amarillo, TX",48375,Potter County,Texas,"Amarillo, TX",11100,2025,299.03499999999997,293.6775,5.357499999999959,1.8242800350724675
11100,"Amarillo, TX",48381,Randall County,Texas,"Amarillo, TX",11100,2022,270.71000000000004,235.60750000000002,35.10250000000002,14.898719268274574
