FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,STATE
01057,2012,16,44.0,AL
01057,2013,10,36.5,AL
01057,2014,25,334.8,AL
01057,2015,11,128.3,AL
01057,2016,22,230.1,AL
01057,2017,20,125.9,AL
01057,2018,12,401.0,AL
01057,2019,16,85.1,AL
01057,2020,8,51.25,AL
01059,2003,21,256.6,AL
01059,2004,26,265.5,AL
01059,2005,37,632.5,AL
01059,2006,29,656.5,AL
01059,2007,62,877.75,AL
01059,2008,14,133.25,AL
01059,2009,12,77.75,AL
01059,2010,22,550.35,AL
01059,2011,11,110.6,AL
01059,2012,31,694.5,AL
01059,2013,14,318.5,AL
01059,2014,31,1543.2,AL
01059,2015,18,140.8,AL
01059,2016,28,204.25,AL
01059,2017,13,71.0,AL
01059,2018,14,83.0,AL
01059,2019,7,32.0,AL
01059,2020,3,14.5,AL
01061,2003,8,52.7,AL
01061,2004,6,58.0,AL
01061,2005,8,59.5,AL
01061,2006,14,158.9,AL
01061,2007,14,91.0,AL
01061,2008,10,103.2,AL
01061,2009,8,196.1,AL
01061,2010,14,242.85,AL
01061,2011,26,284.5,AL
01061,2012,8,103.0,AL
01061,2013,15,231.45,AL
01061,2014,19,59.95,AL
01061,2015,17,316.5,AL
01061,2016,19,62.95,AL
01061,2017,12,142.3,AL
01061,2018,9,116.1,AL
01061,2019,20,114.79,AL
01061,2020,8,26.25,AL
01063,2003,6,40.0,AL
01063,2004,17,112.45,AL
01063,2005,29,128.5,AL
01063,2006,52,456.2,AL
01063,2007,33,370.6,AL
01063,2008,21,214.0,AL
01063,2009,12,104.45,AL
01063,2010,9,127.1,AL
01063,2011,11,136.25,AL
01063,2012,9,148.5,AL
01063,2013,11,148.8,AL
01063,2014,19,225.3,AL
01063,2015,28,480.3,AL
01063,2016,34,130.83,AL
01063,2017,13,72.3,AL
01063,2018,7,20.3,AL
01063,2019,17,39.45,AL
01063,2020,6,5.0,AL
01065,2003,18,56.8,AL
01065,2004,31,225.3,AL
01065,2005,38,168.4,AL
01065,2006,48,443.5,AL
01065,2007,27,101.2,AL
01065,2008,33,66.25,AL
01065,2009,21,94.5,AL
01065,2010,32,106.4,AL
01065,2011,28,132.85,AL
01065,2012,21,205.6,AL
01065,2013,12,40.35,AL
01065,2014,43,337.0,AL
01065,2015,38,220.88,AL
01065,2016,22,82.45,AL
01065,2017,8,9.45,AL
01065,2018,8,15.55,AL
01065,2019,8,442.1,AL
01065,2020,9,8.95,AL
01067,2003,6,72.6,AL
01067,2004,23,221.85,AL
01067,2005,3,245.5,AL
01067,2006,13,119.1,AL
01067,2007,10,29.4,AL
01067,2008,9,63.7,AL
01067,2009,3,155.0,AL
01067,2010,9,114.4,AL
01067,2011,15,314.1,AL
01067,2012,16,114.5,AL
01067,2013,11,74.1,AL
01067,2014,14,59.25,AL
01067,2015,8,40.1,AL
01067,2016,51,135.3,AL
01067,2017,13,165.3,AL
01067,2018,7,9.3,AL
01067,2019,21,90.3,AL
01067,2020,12,50.5,AL
01069,2003,5,53.3,AL
01069,2004,12,57.3,AL
01069,2005,5,42.0,AL
01069,2006,12,120.95,AL
01069,2007,25,207.15,AL
01069,2008,9,51.7,AL
01069,2009,5,63.1,AL
01069,2010,12,152.35,AL
01069,2011,22,253.20000000000002,AL
01069,2012,7,72.5,AL
01069,2013,4,27.1,AL
01069,2014,8,136.85,AL
01069,2015,8,3.4,AL
01069,2016,38,67.15,AL
01069,2017,10,137.55,AL
01069,2018,12,86.0,AL
01069,2019,20,79.9,AL
01069,2020,9,79.3,AL
01071,2003,19,354.5,AL
01071,2004,31,903.25,AL
01071,2005,36,498.3,AL
01071,2006,33,1144.5,AL
01071,2007,52,2958.5,AL
01071,2008,15,181.0,AL
01071,2009,10,260.5,AL
01071,2010,16,263.0,AL
01071,2011,12,254.0,AL
01071,2012,8,301.0,AL
01071,2013,19,163.8,AL
01071,2014,27,357.09999999999997,AL
01071,2015,38,172.05,AL
01071,2016,83,573.8100000000001,AL
01071,2017,5,45.0,AL
01071,2018,7,103.5,AL
01071,2019,25,195.2,AL
01071,2020,4,17.0,AL
01073,2003,50,282.0,AL
01073,2004,55,701.8,AL
01073,2005,67,561.9,AL
01073,2006,108,875.2,AL
01073,2007,106,917.3,AL
01073,2008,60,472.7,AL
01073,2009,26,160.62,AL
01073,2010,38,1326.0,AL
01073,2011,36,3695.1,AL
01073,2012,50,298.0,AL
01073,2013,31,283.45,AL
01073,2014,82,951.1750000000001,AL
01073,2015,47,364.0,AL
01073,2016,94,3155.35,AL
01073,2017,28,371.55,AL
01073,2018,17,160.0,AL
01073,2019,37,389.85,AL
01073,2020,16,67.0,AL
01075,2003,14,126.1,AL
01075,2004,10,34.199999999999996,AL
01075,2005,24,109.10000000000001,AL
01075,2006,49,447.4,AL
01075,2007,36,168.32,AL
01075,2008,16,74.2,AL
01075,2009,5,48.55,AL
01075,2010,15,179.25,AL
01075,2011,16,84.9,AL
01075,2012,24,293.5,AL
01075,2013,11,122.7,AL
01075,2014,21,183.83,AL
01075,2015,7,48.5,AL
01075,2016,24,244.85,AL
01075,2017,10,87.0,AL
01075,2018,5,58.0,AL
01075,2019,16,151.5,AL
01075,2020,15,90.05,AL
01077,2003,55,239.71,AL
01077,2004,74,427.48,AL
01077,2005,99,616.35,AL
01077,2006,98,725.75,AL
01077,2007,92,527.91,AL
01077,2008,38,185.95,AL
01077,2009,25,419.3,AL
01077,2010,20,237.55,AL
01077,2011,12,130.5,AL
01077,2012,14,1105.5,AL
01077,2013,9,117.5,AL
01077,2014,27,316.40000000000003,AL
01077,2015,14,89.9,AL
01077,2016,43,194.35,AL
01077,2017,6,77.25,AL
01077,2018,6,17.75,AL
01077,2019,13,49.05,AL
01077,2020,5,11.45,AL
01079,2003,37,455.25,AL
01079,2004,47,456.57,AL
01079,2005,36,411.35,AL
01079,2006,39,565.85,AL
01079,2007,58,1287.85,AL
01079,2008,18,215.35,AL
01079,2009,13,69.3,AL
01079,2010,14,239.2,AL
01079,2011,11,1539.0,AL
01079,2012,13,224.75,AL
01079,2013,18,230.2,AL
01079,2014,31,527.7,AL
01079,2015,19,2182.1,AL
01079,2016,45,569.95,AL
01079,2017,9,85.1,AL
01079,2018,2,18.0,AL
01079,2019,7,382.0,AL
01079,2020,2,92.5,AL
01081,2003,8,68.8,AL
01081,2004,12,258.0,AL
01081,2005,8,67.25,AL
01081,2006,11,174.0,AL
01081,2007,24,156.25,AL
01081,2008,6,186.5,AL
01081,2009,12,240.45,AL
01081,2010,12,435.5,AL
01081,2011,26,447.75,AL
01081,2012,15,92.0,AL
01081,2013,8,330.2,AL
01081,2014,23,337.35,AL
01081,2015,12,144.35,AL
01081,2016,42,335.25,AL
01081,2017,16,469.5,AL
01081,2018,10,499.0,AL
01081,2019,12,144.65,AL
01081,2020,6,91.25,AL
01083,2003,4,44.0,AL
01083,2004,6,45.5,AL
01083,2005,4,13.0,AL
01083,2006,28,109.8,AL
01083,2007,31,154.7,AL
01083,2008,13,66.6,AL
01083,2009,4,37.0,AL
01083,2010,7,42.0,AL
01083,2011,6,71.0,AL
01083,2012,3,1.5,AL
01083,2013,7,37.32,AL
01083,2014,18,70.89999999999999,AL
01083,2015,13,18.400000000000002,AL
01083,2016,50,400.5,AL
01083,2017,12,27.6,AL
01083,2018,5,7.95,AL
01083,2019,20,43.2,AL
01083,2020,5,36.25,AL
01085,2003,16,41.1,AL
01085,2004,37,744.6999999999999,AL
01085,2005,24,156.3,AL
01085,2006,60,1055.35,AL
01085,2007,44,353.2,AL
01085,2008,26,74.1,AL
01085,2009,9,66.35,AL
01085,2010,20,174.5,AL
01085,2011,16,389.92,AL
01085,2012,21,141.0,AL
01085,2013,17,518.8,AL
01085,2014,31,282.3,AL
01085,2015,24,336.6,AL
01085,2016,26,138.75,AL
01085,2017,8,43.0,AL
01085,2018,5,16.9,AL
01085,2019,17,115.6,AL
01085,2020,9,182.3,AL
01087,2003,31,199.4,AL
01087,2004,84,3304.3,AL
01087,2005,43,1134.3,AL
01087,2006,82,1814.7,AL
01087,2007,67,977.8,AL
01087,2008,47,473.31,AL
01087,2009,23,236.3,AL
01087,2010,53,681.9,AL
01087,2011,71,3471.45,AL
01087,2012,46,644.5,AL
01087,2013,45,1333.0,AL
01087,2014,47,557.87,AL
01087,2015,33,797.5,AL
01087,2016,80,1308.5,AL
01087,2017,40,1251.5,AL
01087,2018,24,248.8,AL
01087,2019,44,376.5,AL
01087,2020,13,69.95,AL
01089,2003,3,62.1,AL
01089,2004,13,109.35,AL
01089,2005,13,67.55,AL
01089,2006,25,251.79999999999998,AL
01089,2007,27,143.55,AL
01089,2008,14,22.5,AL
01089,2009,9,11.459999999999999,AL
01089,2010,6,40.5,AL
01089,2011,4,23.0,AL
01089,2012,5,9.5,AL
01089,2013,13,73.65,AL
01089,2014,5,5.4,AL
01089,2015,5,7.6,AL
01089,2016,15,53.5,AL
01089,2017,1,10.0,AL
