county_fips5,feature_year,target_year,forecast_hpi,lower_bound_hpi,upper_bound_hpi,risk_margin_pct,step_ahead
01099,2024,2025,233.54083,230.27455,236.80713,1.3985951593556871,1
01101,2024,2025,368.26245,363.11197,373.41296,1.3985951593556871,1
01103,2024,2025,555.57355,547.80334,563.3438,1.3985951593556871,1
01107,2024,2025,220.83687,217.74826,223.92549,1.3985951593556871,1
01109,2024,2025,248.45155,244.97673,251.92639,1.3985951593556871,1
01111,2024,2025,282.98975,279.03186,286.94763,1.3985951593556871,1
01113,2024,2025,350.74734,345.84183,355.6529,1.3985951593556871,1
01115,2024,2025,525.9859,518.6295,533.34235,1.3985951593556871,1
01117,2024,2025,597.6897,589.33044,606.04895,1.3985951593556871,1
01119,2024,2025,170.64218,168.25558,173.02878,1.3985951593556871,1
01121,2024,2025,336.74524,332.03555,341.45496,1.3985951593556871,1
01123,2024,2025,347.32272,342.4651,352.1804,1.3985951593556871,1
01125,2024,2025,400.41376,394.8136,406.01395,1.3985951593556871,1
01127,2024,2025,338.59964,333.864,343.3353,1.3985951593556871,1
01129,2024,2025,201.72203,198.90076,204.54332,1.3985951593556871,1
01131,2024,2025,140.42511,138.46114,142.3891,1.3985951593556871,1
01133,2024,2025,325.79572,321.23917,330.3523,1.3985951593556871,1
02020,2024,2025,672.82117,663.41113,682.23126,1.3985951593556871,1
02090,2024,2025,502.44412,495.41696,509.4713,1.3985951593556871,1
02110,2024,2025,576.5512,568.4876,584.61487,1.3985951593556871,1
02122,2024,2025,333.12012,328.46112,337.77914,1.3985951593556871,1
02130,2024,2025,432.9672,426.91174,439.02267,1.3985951593556871,1
02150,2024,2025,396.70865,391.1603,402.25702,1.3985951593556871,1
02170,2024,2025,261.56296,257.90475,265.22116,1.3985951593556871,1
02220,2024,2025,585.35266,577.16595,593.5394,1.3985951593556871,1
04001,2024,2025,462.42197,455.95456,468.8894,1.3985951593556871,1
04003,2024,2025,634.2267,625.35645,643.097,1.3985951593556871,1
04005,2024,2025,1055.465,1040.7032,1070.2267,1.3985951593556871,1
04007,2024,2025,748.82416,738.35114,759.2972,1.3985951593556871,1
04009,2024,2025,395.10883,389.58286,400.63483,1.3985951593556871,1
04012,2024,2025,432.5492,426.4996,438.59882,1.3985951593556871,1
04013,2024,2025,1096.4126,1081.0782,1111.7471,1.3985951593556871,1
04015,2024,2025,814.865,803.4683,826.26166,1.3985951593556871,1
04017,2024,2025,619.812,611.1434,628.4807,1.3985951593556871,1
04019,2024,2025,939.4646,926.3253,952.60394,1.3985951593556871,1
04021,2024,2025,733.65393,723.39307,743.9148,1.3985951593556871,1
04023,2024,2025,308.00073,303.69305,312.30844,1.3985951593556871,1
04025,2024,2025,765.0206,754.3211,775.7202,1.3985951593556871,1
04027,2024,2025,589.2719,581.0304,597.5135,1.3985951593556871,1
05001,2024,2025,352.81018,347.8758,357.74457,1.3985951593556871,1
05003,2024,2025,263.2208,259.5394,266.9022,1.3985951593556871,1
05005,2024,2025,373.81467,368.58652,379.04285,1.3985951593556871,1
