county_fips5,yr,index_nsa_pred
5061,2024,188.48316057434772
5061,2025,195.58728294809046
5063,2021,222.61
5063,2022,258.04695678812834
5063,2023,299.5327711926482
5063,2024,345.5809294340494
5063,2025,398.07785786132877
5065,2021,166.67
5065,2022,175.46622389810244
5065,2023,182.77028713893432
5065,2024,192.06693416777503
5065,2025,201.98555786983687
5067,2021,153.84
5067,2022,156.3054893216975
5067,2023,159.58492640418694
5067,2024,162.72644241607657
5067,2025,165.63435076347616
5069,2021,290.3
5069,2022,338.13788578594813
5069,2023,388.3737805550597
5069,2024,454.3634433561618
5069,2025,523.8381912216201
5071,2021,171.89
5071,2022,179.64286829874234
5071,2023,189.9124754529232
5071,2024,203.06797532174815
5071,2025,219.7194884351697
5075,2021,163.75
5075,2022,172.880022123699
5075,2023,178.00080104860345
5075,2024,186.207375647285
5075,2025,197.65736693908843
5079,2021,179.19
5079,2022,168.35946427993952
5079,2023,176.9753243566518
5079,2024,175.6323596039517
5079,2025,178.34100654892205
5081,2021,156.19
5081,2022,160.3630144792441
5081,2023,166.72862338626675
5081,2024,174.27176496357563
5081,2025,183.0342460505728
5083,2021,181.4
5083,2022,187.85202568824172
5083,2023,196.5767826492202
5083,2024,209.7515137116994
5083,2025,227.68746386316042
5085,2021,248.68
5085,2022,297.0749823947265
5085,2023,345.11800211566936
5085,2024,398.66387895346185
5085,2025,467.9487706220384
5087,2021,180.45
5087,2022,199.99056509398127
5087,2023,223.6127645610484
5087,2024,254.94750493425676
5087,2025,288.23395455094015
5089,2021,180.28
5089,2022,200.76330537396973
5089,2023,230.16753813956575
5089,2024,271.25833563102424
5089,2025,309.1836129229083
5091,2021,232.85
5091,2022,273.59221058481506
5091,2023,318.84477537934964
5091,2024,371.10070659195037
5091,2025,429.74480340532284
5093,2021,269.32
5093,2022,288.4914928151922
5093,2023,334.8929450137636
5093,2024,384.52900727161193
5093,2025,447.3497761238733
5097,2021,212.02
5097,2022,199.75826732913674
5097,2023,191.59454680192746
5097,2024,186.10918009115306
5097,2025,188.32694782980738
5101,2021,177.88
5101,2022,182.39744114951526
5101,2023,190.65302711314519
5101,2024,201.59178506585403
5101,2025,217.07821440323403
5103,2021,195.93
5103,2022,211.06760292831405
5103,2023,233.4691123994525
5103,2024,266.1371056151092
5103,2025,305.43257071174565
5105,2021,140.68
5105,2022,139.99082782022387
5105,2023,144.23667737711918
5105,2024,148.92619266430276
5105,2025,152.2885605689553
5107,2021,159.19
5107,2022,145.96536709832586
5107,2023,148.95140987321855
5107,2024,148.07522443843254
5107,2025,147.2750611697094
5109,2021,154.02
5109,2022,155.0223065020074
5109,2023,157.67179421315225
5109,2024,159.01662279079827
5109,2025,160.87013363805536
5111,2021,194.64
5111,2022,218.20955326740528
