state,feature,importance_mean,importance_std,type
ALASKA,flood_frequency_cumsum,0.0010586026594601949,0.0003272040436671889,climate
ALASKA,fire_frequency_cumsum,0.04176321604367968,0.010124246850866712,climate
ALASKA,hurricane_impact_cumsum,0.0,0.0,climate
ALASKA,heat_x_unemployment,0.0,0.0,climate
ALASKA,drought_x_gdp,0.0,0.0,climate
ALASKA,flood_x_proprate,0.0,0.0,climate
ALASKA,fire_x_population,-0.0006625070038177805,0.00035074872684947575,climate
ALASKA,climate_stress_x_avgprice,-4.581179252571843e-05,7.393058508492276e-05,climate
KENTUCKY,real_gdp,0.04189622710613875,0.005666343487519123,economic/context
KENTUCKY,unemployment_rate,0.0010419949993984213,0.0008730952076384744,economic/context
KENTUCKY,prop_rate,0.0,0.0,economic/context
KENTUCKY,total_home_purchase,0.0012223207965481708,0.0006266275415769921,economic/context
KENTUCKY,total_amt_purchase,0.7227598403656547,0.04821219731818207,economic/context
KENTUCKY,total_population,0.33664021718115145,0.029504411270388647,economic/context
KENTUCKY,gdp_per_capita,0.010520942421955426,0.011257602550379173,economic/context
KENTUCKY,avg_home_price,-0.0015045773393733031,0.0021061232425366064,economic/context
KENTUCKY,purchase_per_capita,0.004207751823333905,0.0007464670014892575,economic/context
KENTUCKY,log_gdp,0.0,0.0,economic/context
KENTUCKY,log_population,0.0,0.0,economic/context
KENTUCKY,log_amt_purchase,0.0,0.0,economic/context
KENTUCKY,yr_centered,0.0,0.0,economic/context
KENTUCKY,yr_sq,0.0,0.0,economic/context
KENTUCKY,flood_frequency,-0.0003636537430092179,0.0002863759266644005,climate
KENTUCKY,flood_property_damage,0.0010888608492427676,0.00012302540318365828,climate
KENTUCKY,flood_duration_hours,0.0015605043155579091,0.0005080366330778584,climate
KENTUCKY,heat_stress_index,0.0003428603589283319,0.00023478315983349208,climate
KENTUCKY,drought_annual_mean_index,-6.693442608111111e-05,0.00026895279139873315,climate
KENTUCKY,fire_frequency,0.001513106717486412,0.00037568635281103854,climate
KENTUCKY,fire_size,-0.00026258200141277,0.00016279078492075912,climate
KENTUCKY,deaths_hurricane,0.0,0.0,climate
KENTUCKY,injuries_hurricane,0.0,0.0,climate
KENTUCKY,damage_hurricane,0.0,0.0,climate
KENTUCKY,flood_severity,0.00019668961682497432,0.0003900623845049858,climate
KENTUCKY,flood_damage_per_event,0.0010771113809195155,0.0002439701944609183,climate
KENTUCKY,hurricane_impact,0.0,0.0,climate
KENTUCKY,fire_total_area,0.0005954974891947074,0.00020966062350376925,climate
KENTUCKY,climate_stress_index,1.808352260342927e-05,7.714984232518627e-05,climate
KENTUCKY,flood_frequency_roll3,0.0008415667707445173,0.001982735669466433,climate
KENTUCKY,heat_stress_index_roll3,0.012660530692182436,0.004209622707069769,climate
KENTUCKY,drought_annual_mean_index_roll3,-0.0007811951817896401,0.0008724644956099509,climate
KENTUCKY,fire_frequency_roll3,0.02593080669704343,0.00611123637216421,climate
KENTUCKY,hurricane_impact_roll3,0.0,0.0,climate
KENTUCKY,flood_frequency_cumsum,0.016223421158490813,0.0020721260010858654,climate
KENTUCKY,fire_frequency_cumsum,0.3034976380888321,0.026141548449310423,climate
KENTUCKY,hurricane_impact_cumsum,0.0,0.0,climate
KENTUCKY,heat_x_unemployment,-0.0009509856081074241,0.0007005458288182771,climate
KENTUCKY,drought_x_gdp,-0.0012290495786299704,0.00038733378878061706,climate
KENTUCKY,flood_x_proprate,0.0,0.0,climate
KENTUCKY,fire_x_population,0.0009790093957959378,0.00032321146586863637,climate
KENTUCKY,climate_stress_x_avgprice,-4.9363597252116695e-05,0.000131388506848085,climate
MONTANA,real_gdp,0.48163088618975436,0.027598193694251483,economic/context
MONTANA,unemployment_rate,0.004069222287355989,0.0022156517763366403,economic/context
MONTANA,prop_rate,0.0,0.0,economic/context
MONTANA,total_home_purchase,-0.00111056542502872,0.00045565881679485414,economic/context
MONTANA,total_amt_purchase,0.02203907390563763,0.0033750633297845306,economic/context
MONTANA,total_population,0.29079159426299406,0.027663910082727606,economic/context
MONTANA,gdp_per_capita,0.004144356326844734,0.005442512390145975,economic/context
MONTANA,avg_home_price,0.031131695727507826,0.007795007180363954,economic/context
MONTANA,purchase_per_capita,0.002359138656011295,0.000561821360465971,economic/context
MONTANA,log_gdp,0.0,0.0,economic/context
MONTANA,log_population,0.0,0.0,economic/context
MONTANA,log_amt_purchase,0.0,0.0,economic/context
MONTANA,yr_centered,0.0,0.0,economic/context
MONTANA,yr_sq,-2.5025731345884593e-06,2.043342407913059e-06,economic/context
MONTANA,flood_frequency,0.00020998186842607902,0.0001794799754965193,climate
MONTANA,flood_property_damage,0.0,0.0,climate
MONTANA,flood_duration_hours,-0.00091414857980191,0.00033661930417887227,climate
MONTANA,heat_stress_index,-0.00029390521976471187,0.0005401752912621298,climate
MONTANA,drought_annual_mean_index,-0.00027498254492599463,0.000247410274037432,climate
MONTANA,fire_frequency,-1.7706277493645395e-05,0.00011571450722786313,climate
MONTANA,fire_size,7.065191993211872e-05,0.00045491303520656324,climate
MONTANA,deaths_hurricane,0.0,0.0,climate
MONTANA,injuries_hurricane,0.0,0.0,climate
MONTANA,damage_hurricane,0.0,0.0,climate
MONTANA,flood_severity,2.0195725259264387e-05,5.199518238568414e-05,climate
MONTANA,flood_damage_per_event,1.1673678801393805e-09,3.5021036404181417e-09,climate
MONTANA,hurricane_impact,0.0,0.0,climate
MONTANA,fire_total_area,0.0007778635548670642,0.00012256750525225743,climate
MONTANA,climate_stress_index,0.0006300325713673227,0.0005499268338666238,climate
MONTANA,flood_frequency_roll3,0.0021208306768004115,0.001214414552594523,climate
MONTANA,heat_stress_index_roll3,-0.0040343716718797325,0.0020691599371398892,climate
MONTANA,drought_annual_mean_index_roll3,0.01819684001709936,0.004929125348001527,climate
MONTANA,fire_frequency_roll3,0.06778564070091343,0.007244304560161667,climate
MONTANA,hurricane_impact_roll3,0.0,0.0,climate
MONTANA,flood_frequency_cumsum,0.002337786915247142,0.0013763495443549596,climate
MONTANA,fire_frequency_cumsum,0.18134257514995702,0.04804508884422507,climate
MONTANA,hurricane_impact_cumsum,0.0,0.0,climate
MONTANA,heat_x_unemployment,-0.0009810284763007826,0.0004635005856251113,climate
MONTANA,drought_x_gdp,0.00011909301978471065,0.00010067676810548434,climate
MONTANA,flood_x_proprate,0.0,0.0,climate
MONTANA,fire_x_population,-6.151326105741095e-06,0.00011592297715017697,climate
MONTANA,climate_stress_x_avgprice,0.00028341575079675606,0.0001118610210647997,climate
INDIANA,real_gdp,0.08149610249250877,0.003822934533629313,economic/context
INDIANA,unemployment_rate,-0.0016242297066899392,0.0008717319919859008,economic/context
INDIANA,prop_rate,0.0,0.0,economic/context
INDIANA,total_home_purchase,0.011094558398686205,0.0029698167730950937,economic/context
INDIANA,total_amt_purchase,0.4201340536660522,0.02386139105540986,economic/context
INDIANA,total_population,0.35110435150836755,0.023904917321394957,economic/context
INDIANA,gdp_per_capita,0.002777510651230497,0.0013762419928200524,economic/context
INDIANA,avg_home_price,0.06900477602763505,0.00695024443310533,economic/context
INDIANA,purchase_per_capita,0.0006164380668036041,0.0004839139536093616,economic/context
INDIANA,log_gdp,0.0,0.0,economic/context
INDIANA,log_population,0.0,0.0,economic/context
INDIANA,log_amt_purchase,0.0,0.0,economic/context
INDIANA,yr_centered,0.0,0.0,economic/context
INDIANA,yr_sq,0.0,0.0,economic/context
INDIANA,flood_frequency,0.00031144458023203426,0.0003183461227146801,climate
INDIANA,flood_property_damage,0.0004961135717623689,0.00019638995602843626,climate
INDIANA,flood_duration_hours,-0.0012383036787822488,0.0009820746128864652,climate
INDIANA,heat_stress_index,3.978018005157402e-05,0.00032840679425103603,climate
INDIANA,drought_annual_mean_index,-0.0018783667922053105,0.0008211746990690362,climate
INDIANA,fire_frequency,0.0,0.0,climate
INDIANA,fire_size,-5.188385809521412e-05,7.970140087767377e-06,climate
INDIANA,deaths_hurricane,0.0,0.0,climate
INDIANA,injuries_hurricane,0.0,0.0,climate
INDIANA,damage_hurricane,0.0,0.0,climate
INDIANA,flood_severity,0.0013469833537154141,0.0004242184922898387,climate
INDIANA,flood_damage_per_event,8.387311688146104e-05,0.00015590062560662114,climate
INDIANA,hurricane_impact,0.0,0.0,climate
INDIANA,fire_total_area,-7.326843367072566e-05,6.41802385268398e-06,climate
INDIANA,climate_stress_index,-0.0014334571828875432,0.000625752749349094,climate
INDIANA,flood_frequency_roll3,0.02295981008408391,0.0044131374382619295,climate
INDIANA,heat_stress_index_roll3,0.007196659825738727,0.0019527806290802778,climate
INDIANA,drought_annual_mean_index_roll3,0.00020232493662840633,0.0009763487595257226,climate
INDIANA,fire_frequency_roll3,0.0010620112535867144,0.00022447588223571295,climate
INDIANA,hurricane_impact_roll3,0.0,0.0,climate
INDIANA,flood_frequency_cumsum,0.06648362223237833,0.004273965260040063,climate
INDIANA,fire_frequency_cumsum,0.0030766889940820443,0.0005699358450771333,climate
INDIANA,hurricane_impact_cumsum,0.0,0.0,climate
INDIANA,heat_x_unemployment,-0.000520056341561459,0.0005099313737371709,climate
INDIANA,drought_x_gdp,-0.0010592319560131624,0.0004916767371528616,climate
INDIANA,flood_x_proprate,0.0,0.0,climate
INDIANA,fire_x_population,-0.00011910031712012437,1.8168138753434604e-05,climate
INDIANA,climate_stress_x_avgprice,-0.0007063516133149816,0.0005719106018846977,climate
WASHINGTON,real_gdp,0.807192543786085,0.12205474895043326,economic/context
WASHINGTON,unemployment_rate,0.045701616442587634,0.009331051570213035,economic/context
WASHINGTON,prop_rate,0.0,0.0,economic/context
WASHINGTON,total_home_purchase,0.00684144758370373,0.001170158913139179,economic/context
WASHINGTON,total_amt_purchase,0.025997840093569147,0.0040474280721576,economic/context
WASHINGTON,total_population,0.07814270855286069,0.014038806861185837,economic/context
WASHINGTON,gdp_per_capita,0.012718618645206337,0.0028360483789934762,economic/context
WASHINGTON,avg_home_price,0.2486680561946378,0.05411556544831728,economic/context
WASHINGTON,purchase_per_capita,-6.0994483356235915e-05,0.00019417373919966243,economic/context
WASHINGTON,log_gdp,0.0,0.0,economic/context
WASHINGTON,log_population,0.0,0.0,economic/context
WASHINGTON,log_amt_purchase,0.0,0.0,economic/context
WASHINGTON,yr_centered,0.0,0.0,economic/context
WASHINGTON,yr_sq,0.0,0.0,economic/context
WASHINGTON,flood_frequency,0.00018745278845405666,0.00015094416779289467,climate
WASHINGTON,flood_property_damage,-4.8505585219538184e-05,0.00010997751802343919,climate
WASHINGTON,flood_duration_hours,6.678434885739603e-05,8.908745817788635e-05,climate
WASHINGTON,heat_stress_index,-0.0003889731989368039,0.0002267267016907247,climate
WASHINGTON,drought_annual_mean_index,1.881382735912096e-05,4.378055398005501e-05,climate
WASHINGTON,fire_frequency,-0.00040300955648568947,0.00048340417565175594,climate
WASHINGTON,fire_size,0.0009188373145324835,0.0005281954536587271,climate
WASHINGTON,deaths_hurricane,0.0,0.0,climate
WASHINGTON,injuries_hurricane,0.0,0.0,climate
WASHINGTON,damage_hurricane,0.0,0.0,climate
WASHINGTON,flood_severity,-2.9359949862861613e-06,3.914763585771197e-05,climate
WASHINGTON,flood_damage_per_event,-5.0896910421038836e-06,5.7620266424736284e-05,climate
WASHINGTON,hurricane_impact,0.0,0.0,climate
WASHINGTON,fire_total_area,0.004657952458154979,0.0016657933056918423,climate
WASHINGTON,climate_stress_index,0.003361130916091348,0.0011721173933430177,climate
WASHINGTON,flood_frequency_roll3,0.0008873398759598694,0.0003935065560857001,climate
WASHINGTON,heat_stress_index_roll3,0.00290581105671458,0.001746818928456819,climate
WASHINGTON,drought_annual_mean_index_roll3,0.0008988412704558635,0.0011635620228907806,climate
WASHINGTON,fire_frequency_roll3,0.03036094935409308,0.005935854287353687,climate
WASHINGTON,hurricane_impact_roll3,0.0,0.0,climate
WASHINGTON,flood_frequency_cumsum,0.003653040177934064,0.001792589444928476,climate
WASHINGTON,fire_frequency_cumsum,0.01412103304638367,0.004919951791505741,climate
