county_fips5,yr,index_nsa_pred
5075,2025,134.90025344652892
5079,2021,154.2307633786801
5079,2022,153.62169047501902
5079,2023,153.54918098948613
5079,2024,152.178947442444
5079,2025,148.9059279747721
5081,2021,142.90493864485535
5081,2022,139.57878630887828
5081,2023,135.4651059415766
5081,2024,129.55542162477613
5081,2025,121.3709176182729
5083,2021,168.05741479630814
5083,2022,164.53866059389162
5083,2023,158.45515214618538
5083,2024,149.71770516227792
5083,2025,138.2673426450809
5085,2021,234.9007770986968
5085,2022,239.82097464072572
5085,2023,242.50981258114214
5085,2024,243.03124925849778
5085,2025,241.50122570145268
5087,2021,169.4423230398085
5087,2022,178.54348118316017
5087,2023,186.5104155123714
5087,2024,192.9278968581151
5087,2025,197.97869933207664
5089,2021,166.84377624115373
5089,2022,165.01267070356255
5089,2023,159.7240747016425
5089,2024,152.1572049723598
5089,2025,142.43591398459236
5091,2021,213.5680198588564
5091,2022,211.62928988934982
5091,2023,205.5115475493431
5091,2024,197.185820832222
5091,2025,186.82067002745492
5093,2021,265.25706406984955
5093,2022,257.2101877975104
5093,2023,244.68667768643294
5093,2024,230.85142680544826
5093,2025,215.54570122459424
5097,2021,165.9652845511765
5097,2022,159.97411699965693
5097,2023,152.579663477444
5097,2024,143.51619708693914
5097,2025,132.23062752231024
5101,2021,187.37142800570666
5101,2022,195.6161267732159
5101,2023,197.2369188721678
5101,2024,196.85782617397527
5101,2025,195.95384411294373
5103,2021,181.82904816208912
5103,2022,182.66353296241238
5103,2023,182.9067871139539
5103,2024,182.1625056757973
5103,2025,180.15539734817807
5105,2021,128.23164481679143
5105,2022,131.21408923458202
5105,2023,133.1073020181755
5105,2024,133.30549119666478
5105,2025,131.93326132453706
5107,2021,110.46740499250498
5107,2022,90.56175261898792
5107,2023,72.65931107805184
5107,2024,50.94846237835196
5107,2025,21.77368875638689
5109,2021,144.05311947912517
5109,2022,143.50727294301996
5109,2023,140.6207306519243
5109,2024,135.40317075983418
5109,2025,127.9998735532919
5111,2021,185.42481116251125
5111,2022,188.48947804415027
5111,2023,189.26143247188503
5111,2024,188.6435481910276
5111,2025,186.8034146101275
5113,2021,157.22857217064603
5113,2022,152.90923850390033
5113,2023,148.81705252253565
5113,2024,142.9820170244495
5113,2025,134.67469683316827
5115,2021,258.0424942333059
5115,2022,262.6059916860536
5115,2023,266.03243124227305
5115,2024,268.2520762853885
5115,2025,269.24343563874754
5119,2021,473.5445930908303
5119,2022,476.2897184539125
5119,2023,475.65107887643603
5119,2024,472.126334545618
5119,2025,465.6259107816604
5121,2021,156.73356664421974
5121,2022,158.4352771361889
5121,2023,158.7970527510157
5121,2024,157.51053625878762
5121,2025,154.6759869040866
5123,2021,136.57249532888
5123,2022,128.23520647838535
5123,2023,113.56350972628371
5123,2024,95.6721916058465
5123,2025,74.72548998822555
5125,2021,220.83817159797582
5125,2022,230.04782139210008
5125,2023,237.64330483500652
5125,2024,243.19908826969868
5125,2025,246.982432376164
5127,2021,129.29720784913567
5127,2022,131.65762894341307
5127,2023,136.66635295481885
5127,2024,140.6753964377607
5127,2025,142.49567951957556
5129,2021,111.14153957965033
5129,2022,109.8313057663151
5129,2023,106.82821023835524
5129,2024,101.57888259631085
5129,2025,94.00479087695791
5131,2021,398.6095936976779
5131,2022,402.6535818378813
5131,2023,404.9188673588776
5131,2024,405.290669140357
5131,2025,403.68631313289006
5133,2021,166.52731495490107
5133,2022,168.95203355578155
5133,2023,169.72688866326297
5133,2024,169.19914075706083
5133,2025,167.55656004900374
5135,2021,154.55670876903304
5135,2022,150.9500822794394
5135,2023,144.14570480964358
5135,2024,135.69270405514192
5135,2025,125.69072382734544
5137,2021,164.33037410821495
5137,2022,161.38435600621403
5137,2023,154.47527452652002
5137,2024,145.76956614120093
5137,2025,135.49715775671123
5139,2021,185.95810002341653
5139,2022,177.96343775248954
5139,2023,165.8037564902994
5139,2024,150.9274677955902
5139,2025,133.3225949914832
5141,2021,157.01039888389565
5141,2022,156.63535175540508
5141,2023,153.99364919182216
5141,2024,150.9196102140524
5141,2025,147.6622653290368
5143,2021,547.2362377839444
5143,2022,563.1791595293357
5143,2023,578.5293585803946
5143,2024,592.4548215142254
5143,2025,604.9164961400927
5145,2021,257.7070615204232
5145,2022,261.95640976109433
5145,2023,263.9995709884603
5145,2024,264.86754574787534
5145,2025,264.84054524987204
5147,2021,129.47602715852358
5147,2022,133.49625719484823
5147,2023,136.58047044610535
5147,2024,138.4590051590807
5147,2025,139.38942341143752
5149,2021,150.12393990902297
5149,2022,154.3952503187627
5149,2023,159.33843030984968
5149,2024,163.17347616716822
5149,2025,165.51606629129293
6001,2021,2054.8764415107653
6001,2022,2082.29536766822
6001,2023,2108.337409381809
6001,2024,2130.6059681386773
6001,2025,2149.9153213906675
6003,2021,209.38432818301163
6003,2022,186.98919881866715
6003,2023,162.54190033500316
6003,2024,134.36046883225777
6003,2025,100.94913824942844
6005,2021,365.17836472676504
6005,2022,356.7224679759694
6005,2023,346.7011065216348
6005,2024,334.74794157988
6005,2025,320.23456733278584
6007,2021,905.3020874307203
6007,2022,905.1740081839937
6007,2023,909.5468187151674
6007,2024,913.191231218181
6007,2025,914.1630951885246
6009,2021,436.0143424222995
6009,2022,436.44186213589194
6009,2023,435.8787853267261
6009,2024,434.42426432570613
6009,2025,431.594720145751
6011,2021,368.3123625505767
6011,2022,340.1450693935302
6011,2023,312.5893877473671
6011,2024,286.68992248319944
6011,2025,260.71370887506146
6013,2021,1458.6379216033592
6013,2022,1484.6524134916035
6013,2023,1509.3458828807493
6013,2024,1531.3629451257561
6013,2025,1551.0104285800057
6015,2021,510.0629614550322
6015,2022,503.66109515601977
6015,2023,494.96427807956314
6015,2024,486.741691931644
6015,2025,477.814002276122
6017,2021,973.5217607149377
6017,2022,987.466617010903
6017,2023,999.829296779759
6017,2024,1010.5913054617614
6017,2025,1019.5685457554948
6019,2021,795.4485483556597
6019,2022,803.7141470508473
6019,2023,811.3844641834988
6019,2024,819.2511692030138
6019,2025,826.4858400136509
6021,2021,416.7325865393919
6021,2022,411.613200253099
6021,2023,410.0432468734991
6021,2024,409.91013552020627
6021,2025,409.5837555507715
6023,2021,867.6730756211579
6023,2022,870.274694677817
6023,2023,869.5943053047105
6023,2024,868.0106782273602
6023,2025,864.6100104703495
6025,2021,396.4365460305772
6025,2022,350.77407996640125
6025,2023,305.3536151536798
6025,2024,263.7799277771438
6025,2025,223.80545323397155
6027,2021,623.2483340303477
6027,2022,623.0319326329197
6027,2023,622.1992129986807
6027,2024,619.8681586608129
6027,2025,615.4207754865074
6029,2021,666.7742367151218
6029,2022,670.136199578621
6029,2023,673.1711660276151
6029,2024,677.4393153236527
6029,2025,681.9252439857545
6031,2021,757.1185938342501
6031,2022,749.2444841387535
6031,2023,739.91508685957
6031,2024,731.6524510232689
6031,2025,723.0529397750945
6033,2021,474.43799252671954
6033,2022,468.3481382664694
6033,2023,459.2811433030348
6033,2024,449.0007430258355
6033,2025,436.96192380801114
6035,2021,329.55863250609724
6035,2022,336.24271043372676
6035,2023,344.0373818944402
6035,2024,352.6852451140163
6035,2025,361.92995450041
6037,2021,1644.82940134896
6037,2022,1597.2550154053733
6037,2023,1546.2608766551002
6037,2024,1493.7424872124861
6037,2025,1436.4047388936638
6039,2021,773.282826443476
6039,2022,769.867137004022
6039,2023,766.4083118925371
6039,2024,764.3451457675333
6039,2025,762.292205529277
6041,2021,1668.1419950279596
6041,2022,1694.624944467283
6041,2023,1720.20619858583
6041,2024,1740.4534478265823
6041,2025,1757.3020716689284
6043,2021,415.0804243728856
6043,2022,401.22753384582063
6043,2023,384.182866851884
6043,2024,364.52939409427466
6043,2025,341.6364419799117
6045,2021,1180.8457642989622
