"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"13053",35,1888000
2000,"13055",173,9500000
2000,"13057",4482,619300000
2000,"13059",1213,124843000
2000,"13061",20,712000
2000,"13063",4755,480569000
2000,"13065",33,1174000
2000,"13067",15229,2264786000
2000,"13069",358,17527000
2000,"13071",300,15854000
2000,"13073",2002,240550000
2000,"13075",108,5122000
2000,"13077",2227,282181000
2000,"13079",72,4502000
2000,"13081",129,8660000
2000,"13083",147,10458000
2000,"13085",245,35155000
2000,"13087",237,13810000
2000,"13089",12152,1782090000
2000,"13091",133,5736000
2000,"13093",64,3340000
2000,"13095",1046,86149000
2000,"13097",1882,215449000
2000,"13099",81,3876000
2000,"13101",9,379000
2000,"13103",761,68715000
2000,"13105",137,8063000
2000,"13107",112,5177000
2000,"13109",81,3645000
2000,"13111",130,11257000
2000,"13113",2376,383668000
2000,"13115",843,71770000
2000,"13117",3843,670752000
2000,"13119",135,9345000
2000,"13121",17965,3444241000
2000,"13123",206,17014000
2000,"13125",15,769000
2000,"13127",815,104626000
2000,"13129",486,40034000
2000,"13131",163,8725000
2000,"13133",106,14177000
2000,"13135",16444,2330404000
2000,"13137",294,22989000
2000,"13139",2353,276117000
2000,"13141",44,2141000
2000,"13143",239,18843000
2000,"13145",409,47613000
2000,"13147",167,13782000
2000,"13149",99,6438000
2000,"13151",4106,502802000
2000,"13153",1961,192842000
2000,"13155",60,2480000
2000,"13157",749,76229000
2000,"13159",128,10339000
2000,"13161",88,3477000
2000,"13163",118,6517000
2000,"13165",66,3168000
2000,"13167",49,2358000
2000,"13169",278,25211000
2000,"13171",138,12506000
2000,"13173",35,1637000
2000,"13175",353,22688000
2000,"13177",405,38806000
2000,"13179",514,36490000
2000,"13181",46,3077000
2000,"13183",43,2073000
2000,"13185",892,70364000
2000,"13187",208,20702000
2000,"13189",204,14253000
2000,"13191",100,6869000
2000,"13193",90,4778000
2000,"13195",224,16981000
2000,"13197",45,2532000
2000,"13199",151,11193000
2000,"13201",68,2496000
2000,"13205",182,8661000
2000,"13207",200,21137000
2000,"13209",27,1302000
2000,"13211",155,15153000
2000,"13213",423,26760000
2000,"13215",1995,196953000
2000,"13217",1745,189057000
2000,"13219",431,61534000
2000,"13221",102,7525000
2000,"13223",2153,237794000
2000,"13225",345,24840000
2000,"13227",427,48727000
2000,"13229",137,7568000
2000,"13231",154,15756000
2000,"13233",367,27681000
2000,"13235",54,3635000
2000,"13237",181,17440000
2000,"13239",25,1108000
2000,"13241",93,11456000
2000,"13243",46,2014000
2000,"13245",1998,157748000
2000,"13247",1126,139735000
2000,"13249",26,1080000
2000,"13251",159,7111000
2000,"13253",63,3459000
2000,"13255",701,65053000
2000,"13257",154,9721000
2000,"13259",25,1510000
