IBRC_Geo_ID,Year,Total Population
1043,2011,80419
1043,2012,80292
1043,2013,80704
1043,2014,81081
1043,2015,81771
1043,2016,82434
1043,2017,82830
1043,2018,83300
1043,2019,83644
1043,2020,88142
1043,2021,89578
1043,2022,90597
1043,2023,91909
1043,2024,92604
1045,2000,49124
1045,2001,49254
1045,2002,49373
1045,2003,49215
1045,2004,49245
1045,2005,49050
1045,2006,49077
1045,2007,49488
1045,2008,49871
1045,2009,49854
1045,2010,50396
1045,2011,50134
1045,2012,50313
1045,2013,49807
1045,2014,49465
1045,2015,49428
1045,2016,49476
1045,2017,49467
1045,2018,49268
1045,2019,49294
1045,2020,49260
1045,2021,49344
1045,2022,49472
1045,2023,49852
1045,2024,50067
1047,2000,46198
1047,2001,46132
1047,2002,45377
1047,2003,45170
1047,2004,44795
1047,2005,44434
1047,2006,44323
1047,2007,44194
1047,2008,44265
1047,2009,43759
1047,2010,43855
1047,2011,43254
1047,2012,42794
1047,2013,41981
1047,2014,41560
1047,2015,40947
1047,2016,40105
1047,2017,39263
1047,2018,38270
1047,2019,37182
1047,2020,38185
1047,2021,37496
1047,2022,36772
1047,2023,36294
1047,2024,35545
1049,2000,64650
1049,2001,65678
1049,2002,65861
1049,2003,66530
1049,2004,67260
1049,2005,67794
1049,2006,68495
1049,2007,69450
1049,2008,70228
1049,2009,70864
1049,2010,71133
1049,2011,71335
1049,2012,70913
1049,2013,70881
1049,2014,70963
1049,2015,71065
1049,2016,71116
1049,2017,71441
1049,2018,71430
1049,2019,71506
1049,2020,71673
1049,2021,71880
1049,2022,72046
1049,2023,72626
1049,2024,73122
1051,2000,66160
1051,2001,67459
1051,2002,68659
1051,2003,69935
1051,2004,71018
1051,2005,72978
1051,2006,75246
1051,2007,77124
1051,2008,77698
1051,2009,78632
1051,2010,79558
1051,2011,80005
1051,2012,80211
1051,2013,80557
1051,2014,80563
1051,2015,80903
1051,2016,81258
1051,2017,81452
1051,2018,81189
1051,2019,81575
1051,2020,87871
1051,2021,88734
1051,2022,89566
1051,2023,90416
1051,2024,91042
1053,2000,38325
1053,2001,38197
1053,2002,38035
1053,2003,37796
1053,2004,37713
1053,2005,37601
1053,2006,37673
1053,2007,37839
1053,2008,37929
1053,2009,38249
1053,2010,38352
1053,2011,38211
1053,2012,38029
1053,2013,37775
1053,2014,37749
1053,2015,37676
1053,2016,37500
1053,2017,37010
1053,2018,36515
1053,2019,36569
1053,2020,36687
1053,2021,36628
1053,2022,36620
1053,2023,36582
1053,2024,36630
1055,2000,103286
1055,2001,102976
1055,2002,102988
1055,2003,103025
1055,2004,103080
1055,2005,103174
1055,2006,103528
1055,2007,103893
1055,2008,104206
1055,2009,104239
1055,2010,104440
1055,2011,104356
1055,2012,104271
