FIPS,State,County,mean_actual_hpi_change,pred_full,pred_lags_macro,climate_contribution,nri_wildfire_risk,nri_hurricane_risk,nri_coastal_flood_risk,nri_inland_flood_risk,nri_drought_risk,nri_heatwave_risk,nri_tornado_risk,nri_overall_risk_score,nri_risk_percentile,composite_climate_risk_score,climate_risk_rank
39153,OH,Summit,7.662857142857143,7.397404,7.5149674,-0.11756264,53.18066157760815,61.24322069253233,,94.02035623409668,0.0,90.3018625561978,91.12595419847328,91.15776081424936,91.15776081424936,72.3,284
37129,NC,New Hanover,10.010000000000002,9.957721,9.715086,0.24263641,82.95165394402035,99.12390488110138,89.2,89.8854961832061,19.24300254452926,85.58124598587025,90.36259541984732,96.11959287531806,96.11959287531806,72.25,285
12061,FL,Indian River,10.0,10.273906,10.063241,0.21066448,88.19974554707379,99.16562369628703,69.0,85.87786259541986,63.040712468193384,63.10211946050096,72.45547073791349,95.64249363867685,95.64249363867685,72.23,286
17055,IL,Franklin,6.1499999999999995,5.73957,6.5731697,-0.8335995,5.756997455470738,45.59866499791406,,65.68066157760815,58.23791348600509,87.37957610789981,79.32569974554707,80.94783715012723,80.94783715012723,72.22,287
19193,IA,Woodbury,6.951428571428572,6.9846697,7.653541,-0.6688716,87.37277353689568,,,78.18066157760815,90.48982188295165,83.1727681438664,96.53307888040713,83.26972010178118,83.26972010178118,72.22,287
41005,OR,Clackamas,6.258571428571429,6.9743385,6.8102975,0.16404112,86.76844783715013,,18.8,93.70229007633588,14.122137404580156,95.47206165703277,38.104325699745544,94.87913486005088,94.87913486005088,72.18,289
25017,MA,Middlesex,6.731428571428571,6.6003804,6.2875795,0.31280133,72.7735368956743,95.4526491447643,56.2,98.50508905852416,86.80025445292621,95.66473988439309,90.10814249363868,96.94656488549616,96.94656488549616,72.17,290
48423,TX,Smith,7.874285714285714,7.6993365,8.289041,-0.589704,80.34351145038168,75.09386733416771,,84.92366412213741,0.0,96.27488760436738,47.264631043257,84.16030534351145,84.16030534351145,72.11,291
41011,OR,Coos,8.995714285714286,9.1898365,9.227892,-0.038055148,64.75826972010178,,87.4,85.55979643765902,14.090330788804073,50.16056518946692,4.134860050890586,91.88931297709925,91.88931297709925,72.1,292
48213,TX,Henderson,9.668571428571429,9.129393,9.688067,-0.5586753,75.47709923664122,66.20775969962453,,72.86895674300254,58.524173027989825,87.25112395632627,93.54325699745549,84.54198473282443,84.54198473282443,72.08,293
47065,TN,Hamilton,9.870000000000001,8.943492,8.87468,0.06881305,70.64249363867684,62.53650396328744,,94.91094147582696,36.60941475826972,75.59409120102761,98.60050890585242,93.28880407124684,93.28880407124684,72.05,294
27035,MN,Crow Wing,7.871428571428572,8.198899,9.251763,-1.0528637,76.14503816793892,,,84.19211195928753,42.55725190839695,56.77585099550418,61.29134860050891,77.54452926208651,77.54452926208651,72.05,294
22087,LA,Saint Bernard,5.448571428571428,6.141156,7.3264575,-1.185301,38.708651399491096,95.53608677513559,74.4,32.220101781170484,35.146310432569976,68.40077071290945,50.89058524173028,75.60432569974553,75.60432569974553,72.01,296
53047,WA,Okanogan,9.198571428571428,8.946697,9.159544,-0.21284655,99.30025445292621,,,89.12213740458014,20.260814249363868,72.38278741168914,6.647582697201019,89.18575063613233,89.18575063613233,71.98,297
29099,MO,Jefferson,7.1571428571428575,7.4427733,7.558926,-0.11615215,53.05343511450383,23.654568210262827,,91.38040712468192,22.29643765903308,92.10019267822737,95.10178117048346,90.52162849872772,90.52162849872772,71.97,298
6041,CA,Marin,4.094285714285715,3.9746249,3.6703951,0.3042296,94.56106870229009,,97.2,96.53307888040713,51.62213740458015,74.63070006422608,18.575063613231553,96.37404580152673,96.37404580152673,71.94,299
42077,PA,Lehigh,8.215714285714286,7.8994513,7.7720065,0.12744488,30.311704834605596,90.19607843137256,,95.35623409669213,64.47201017811705,96.49967886962105,87.37277353689568,93.89312977099237,93.89312977099237,71.94,299
35025,NM,Lea,4.83,5.9253983,6.359866,-0.4344678,98.02798982188295,39.75803087192324,,88.32697201017811,86.06870229007633,77.45664739884393,54.4529262086514,86.00508905852418,86.00508905852418,71.94,299
34009,NJ,Cape May,10.847142857142858,9.939601,10.007521,-0.06791919,86.41857506361323,93.11639549436796,99.4,89.66284987277355,57.91984732824428,92.4213230571612,38.295165394402034,91.03053435114504,91.03053435114504,71.88,302
53061,WA,Snohomish,8.905714285714286,7.8816094,7.462087,0.4195223,61.48218829516539,,77.60000000000002,95.73791348600508,13.008905852417302,96.94926140012845,38.80407124681934,97.86895674300254,97.86895674300254,71.88,302
4021,AZ,Pinal,10.93142857142857,9.42777,9.294107,0.13366185,97.99618320610686,18.815185648727574,,96.37404580152673,95.67430025445293,98.87604367373156,37.05470737913486,93.8295165394402,93.8295165394402,71.87,304
21083,KY,Graves,6.450000000000001,5.7654114,6.3324685,-0.56705725,26.717557251908396,48.72757613683771,,56.80661577608143,88.96310432569975,75.208734746307,70.61068702290076,83.96946564885496,83.96946564885496,71.86,305
4007,AZ,Gila,9.637142857142859,9.2575865,9.382457,-0.12486996,99.07760814249365,7.676261994159366,,93.06615776081425,24.618320610687025,86.7373153500321,13.358778625954198,90.17175572519085,90.17175572519085,71.85,306
28081,MS,Lee,5.964285714285714,6.531493,7.2899814,-0.7584881,36.6412213740458,68.8360450563204,,72.04198473282443,56.583969465648856,88.88888888888889,86.76844783715013,81.26590330788804,81.26590330788804,71.85,306
35015,NM,Eddy,5.394285714285714,6.224932,6.808171,-0.5832391,88.51781170483459,24.739257405089695,,90.68066157760815,85.24173027989822,78.80539499036608,27.32188295165394,83.65139949109415,83.65139949109415,71.81,308
42079,PA,Luzerne,7.8028571428571425,7.350638,7.365538,-0.014900548,53.721374045801525,83.10387984981227,,95.32442748091603,0.0,91.32947976878613,81.58396946564885,91.63486005089058,91.63486005089058,71.81,308
12069,FL,Lake,10.155714285714286,10.059302,10.053019,0.0062839645,95.99236641221374,94.99374217772215,35.4,92.30279898218829,34.987277353689564,79.8330122029544,97.39185750636133,91.92111959287533,91.92111959287533,71.81,308
26145,MI,Saginaw,8.065714285714286,7.3079343,7.538536,-0.23060189,16.030534351145036,50.47976637463496,,91.4440203562341,0.0,77.80989081567117,93.28880407124684,88.54961832061069,88.54961832061069,71.78,311
21067,KY,Fayette,8.041428571428572,8.022607,8.00245,0.020157065,26.908396946564885,56.987901543596166,,92.68447837150129,22.041984732824428,86.9621066152858,97.96437659033079,92.04834605597965,92.04834605597965,71.77,312
6071,CA,San Bernardino,8.502857142857142,8.158503,7.581558,0.57694423,99.90458015267176,0.0,,99.84096692111959,33.49236641221374,98.36223506743738,78.7531806615776,99.84096692111959,99.84096692111959,71.76,313
8001,CO,Adams,7.251428571428571,7.822403,7.8586845,-0.036282063,80.94783715012723,,,87.21374045801527,63.74045801526719,76.9107257546564,93.44783715012723,91.18956743002543,91.18956743002543,71.74,314
48339,TX,Montgomery,7.9314285714285715,7.9275594,7.635813,0.29174605,79.29389312977099,93.74217772215268,,95.57888040712469,68.63867684478372,95.7610789980732,99.42748091603053,95.73791348600508,95.73791348600508,71.71,315
17115,IL,Macon,5.492857142857143,5.4881124,6.081533,-0.59342086,21.151399491094143,37.08802670004172,,83.26972010178118,87.5,90.26974951830445,86.10050890585242,83.30152671755725,83.30152671755725,71.71,315
21227,KY,Warren,6.892857142857143,7.516383,7.7403855,-0.22400257,18.51145038167939,44.221944096787645,,87.34096692111959,43.60687022900763,82.17726396917149,93.09796437659033,88.48600508905852,88.48600508905852,71.7,317
40017,OK,Canadian,7.054285714285714,7.0796447,7.655239,-0.5755945,83.9058524173028,30.16270337922403,,75.73155216284987,70.41984732824427,93.03147077713552,95.03816793893128,83.49236641221374,83.49236641221374,71.68,318
5069,AR,Jefferson,5.609999999999999,6.1092424,6.563613,-0.45437026,57.63358778625955,65.28994576554025,,78.21246819338423,62.945292620865146,91.36159280667952,92.52544529262089,85.17811704834605,85.17811704834605,71.67,319
48291,TX,Liberty,6.885714285714286,7.7779837,8.633423,-0.8554395,83.58778625954199,90.15435961618688,20.6,68.98854961832062,77.32188295165395,83.8150289017341,94.46564885496184,79.51653944020356,79.51653944020356,71.65,320
18163,IN,Vanderburgh,7.204285714285715,7.6451716,7.659791,-0.014619759,31.20229007633587,42.84522319566124,,89.79007633587787,52.79898218829516,93.38471419396276,95.89694656488548,91.31679389312976,91.31679389312976,71.65,320
25013,MA,Hampden,7.521428571428571,7.186637,7.096926,0.08971091,39.31297709923664,93.19983312473924,,95.86513994910942,58.68320610687023,89.65960179833013,82.72900763358777,92.77989821882952,92.77989821882952,71.65,320
5143,AR,Washington,9.558571428571428,8.971581,8.910345,0.061236076,94.05216284987277,54.401335002085936,,90.13994910941477,0.0,99.35773924213228,95.35623409669213,92.2709923664122,92.2709923664122,71.59,323
45075,SC,Orangeburg,7.518571428571428,7.1995826,7.459964,-0.2603809,79.93002544529261,95.32749269920734,,75.76335877862596,75.41348600508906,81.56711624919717,66.31679389312977,87.72264631043257,87.72264631043257,71.58,324
28045,MS,Hancock,8.041428571428572,8.710081,9.326345,-0.61626446,90.42620865139949,95.24405506883605,86.2,67.17557251908397,55.8206106870229,78.13102119460501,76.55852417302799,82.72900763358777,82.72900763358777,71.58,324
53045,WA,Mason,9.66,9.653351,10.082864,-0.42951235,44.052162849872765,,75.2,79.29389312977099,12.627226463104329,67.95118818240205,13.80407124681934,85.33715012722645,85.33715012722645,71.57,326
48469,TX,Victoria,6.535714285714286,6.245969,6.5918264,-0.34585756,76.52671755725191,96.16186900292033,27.800000000000004,71.15139949109415,89.98091603053437,82.36994219653178,85.24173027989822,86.48218829516541,86.48218829516541,71.56,327
47149,TN,Rutherford,9.774285714285714,9.480385,9.45294,0.027445555,43.35241730279898,52.690863579474346,,93.38422391857506,45.92875318066159,83.62235067437379,94.97455470737911,91.73027989821882,91.73027989821882,71.56,327
4013,AZ,Maricopa,10.044285714285715,9.220938,8.612267,0.6086706,99.61832061068702,26.574885273258243,,99.87277353689569,97.70992366412212,100.0,84.00127226463104,99.87277353689569,99.87277353689569,71.55,329
48251,TX,Johnson,8.944285714285714,9.02286,9.35225,-0.32939032,94.37022900763358,53.48352106800167,,80.85241730279897,37.46819338422392,92.58188824662813,98.09160305343512,86.67302798982189,86.67302798982189,71.54,330
36119,NY,Westchester,5.548571428571429,5.8293004,5.480911,0.34838977,56.64758269720102,93.61702127659576,80.80000000000001,97.96437659033079,30.56615776081425,96.17854849068722,72.70992366412213,96.18320610687024,96.18320610687024,71.53,331
34023,NJ,Middlesex,7.927142857142856,7.461993,6.9971566,0.4648369,79.70737913486005,92.61576971214016,83.6,98.8549618320611,75.03180661577609,96.46756583172768,94.49745547073792,97.77353689567428,97.77353689567428,71.51,332
29213,MO,Taney,8.452857142857143,8.396989,8.909839,-0.5128508,67.90712468193384,38.33959115561118,,89.05852417302799,45.801526717557245,88.6319845857418,77.70356234096693,84.03307888040712,84.03307888040712,71.5,333
41057,OR,Tillamook,8.617142857142857,9.401567,10.102823,-0.7012555,43.57506361323155,,66.8,76.33587786259542,12.340966921119591,32.5626204238921,10.782442748091604,81.3295165394402,81.3295165394402,71.48,334
47093,TN,Knox,11.088571428571429,9.225393,9.159452,0.065940514,62.97709923664122,65.79057154776804,,92.77989821882952,39.44020356234097,72.63969171483622,96.72391857506362,92.1119592875318,92.1119592875318,71.48,334
48481,TX,Wharton,6.188571428571429,6.4048643,6.983453,-0.5785888,52.958015267175576,94.82686691697957,0.0,69.81552162849873,91.4440203562341,78.5806037251124,72.42366412213741,83.01526717557252,83.01526717557252,71.46,336
37067,NC,Forsyth,9.1,8.536083,8.507747,0.028335843,35.782442748091604,86.4831038798498,,94.65648854961832,53.5941475826972,80.2504816955684,90.87150127226464,91.53944020356232,91.53944020356232,71.46,336
55133,WI,Waukesha,7.137142857142857,6.926209,7.0779877,-0.15177901,49.68193384223918,9.720483938256152,,89.75826972010178,31.615776081424933,90.43031470777137,95.70610687022901,88.8676844783715,88.8676844783715,71.39,338
22117,LA,Washington,4.911428571428572,5.518106,5.9087296,-0.39062312,80.02544529262089,95.91155611180645,,78.97582697201018,91.15776081424936,83.42967244701349,71.62849872773536,85.52798982188295,85.52798982188295,71.39,338
36111,NY,Ulster,10.064285714285715,8.269171,8.503949,-0.2347778,52.86259541984733,86.85857321652065,53.6,91.88931297709925,49.74554707379134,66.31342324983943,87.56361323155215,87.69083969465649,87.69083969465649,71.38,340
